name,code,phone,email,address
Solomon Telekom,STL001,20123,contact@solomontel.com.sb,PO Box 148 Honiara
Our Telekom,OTL002,21567,info@ourtelekom.com.sb,Ranadi Industrial Estate Honiara
Bmobile Vodafone,BMV003,25555,support@bmobile.com.sb,Point Cruz Honiara
Solomon Airlines,SIA004,20031,reservations@flysolomons.com,Henderson International Airport
Heritage Park Hotel,HPH005,24007,reservations@heritageparkhotel.com.sb,Mendana Avenue Honiara
Coral Sea Resort,CSR006,25009,stay@coralsearesort.com.sb,Point Cruz Honiara
Solomon Breweries,SBL007,30521,info@sbl.com.sb,Ranadi Honiara
SolTuna Limited,STN008,60111,hr@soltuna.com.sb,Noro Western Province
Kolombangara Forest,KFP009,60800,office@kfpl.com.sb,Ringi Kolombangara
Gold Ridge Mining,GRM010,20444,admin@goldridge.com.sb,Gold Ridge Guadalcanal
Solomon Power,SIE011,21400,customercare@solomonpower.com.sb,Ranadi Honiara
Solomon Water,SIW012,23985,info@solomonwater.com.sb,Kukum Highway Honiara
National Bank,NBS013,21874,enquiries@nbsi.com.sb,Mendana Avenue Honiara
Bank South Pacific,BSP014,21874,honiara@bsp.com.sb,Mendana Avenue Honiara
ANZ Solomons,ANZ015,21111,info@anz.com,Mendana Avenue Honiara
Pacific Casino Hotel,PCH016,25009,frontdesk@pacificcasino.com.sb,Kukum Highway Honiara
King Solomon Hotel,KSH017,21205,reservations@kingsolomon.com.sb,Hibiscus Avenue Honiara
Solomon Ports,SPA018,21501,ops@solports.com.sb,Point Cruz Honiara
Guadalcanal Plains,GPP019,60333,office@gppol.com.sb,Tetere Guadalcanal
Delta Timber,DTL020,60555,contact@deltatimber.sb,Noro Western Province
Malaita Timber,MTC021,40222,info@malaitatimber.sb,Auki Malaita
Choiseul Bay Trading,CBT022,63111,admin@cbt.sb,Taro Choiseul
Isabel Development,IDA023,35100,secretary@isabel.gov.sb,Buala Isabel
Western Provincial,WPG024,60123,psoffice@western.gov.sb,Gizo Western Province
Honiara City Council,HCC025,22300,info@hcc.gov.sb,Mendana Avenue Honiara
